OBJECT_ID,Bill_Year,Rate_Description,Rate_Code,Rate_Type,Rate,Minimum_Rate,Maximum_Rate,Calculation_Type
43,2022,SHEET HBR STREETSCAPE T3 RES,A200,Commercial,5,0,0,Flat Rate
44,2022,SHEET HBR STREETSCAPE T3 RES,A200,Residential,5,0,0,Flat Rate
45,2022,HALIFAX DOWNTOWN BID,B000,Commercial,0.091,300,0,Rate
46,2022,DARTMOUTH DOWNTOWN BID,B010,Commercial,0.36,300,0,Rate
47,2022,SPRING GARDEN ROAD BID,B020,Commercial,0.34,250,18000,Rate
48,2022,QUINPOOL ROAD BID,B030,Commercial,0.22,300,20000,Rate
49,2022,SPRYFIELD BID,B040,Commercial,0.29,300,10000,Rate
50,2022,DARTMOUTH MAIN STREET BID,B050,Commercial,0.195,250,0,Rate
51,2022,SACKVILLE BID,B060,Commercial,0.15,200,7000,Rate
52,2022,NORTH END COMMERCIAL BID,B070,Commercial,0.16,350,10000,Rate
53,2022,PORTERS LAKE COMMERCIAL BID,B080,Commercial,0.1,300,3000,Rate
54,2022,URBAN GENERAL RATE-COMMERCIAL,M010,Commercial,3.016,0,0,Rate
55,2022,URBAN GENERAL RATE-RESIDENTIAL,M010,Residential,0.626,0,0,Rate
56,2022,URBAN GENERAL RATE-RESOURCE,M010,Resource,0.626,0,0,Rate
57,2022,SUBURBAN GENERAL RATE-COM,M020,Commercial,3.016,0,0,Rate
58,2022,SUBURBAN GENERAL RATE-RESIDENT,M020,Residential,0.593,0,0,Rate
59,2022,SUBURBAN GENERAL RATE-RESOURCE,M020,Resource,0.593,0,0,Rate
60,2022,RURAL GENERAL RATE-COMMERCIAL,M030,Commercial,2.662,0,0,Rate
61,2022,RURAL GENERAL RATE-RESIDENTIAL,M030,Residential,0.593,0,0,Rate
62,2022,RURAL GENERAL RATE-RESOURCE,M030,Resource,0.593,0,0,Rate
63,2022,SUPPLEMENTARY EDUCATION-COM,M040,Commercial,0.058,0,0,Rate
64,2022,SUPPLEMENTARY EDUCATION-RESIDE,M040,Residential,0.019,0,0,Rate
65,2022,SUPPLEMENTARY EDUCATION-RESOUR,M040,Resource,0.019,0,0,Rate
66,2022,FIRE PROTECTION (HYDRANTS)-COM,M050,Commercial,0.039,0,0,Rate
67,2022,FIRE PROTECTION (HYDRANTS)-RES,M050,Residential,0.013,0,0,Rate
68,2022,FIRE PROTECT (HYDRANTS)-RESOUR,M050,Resource,0.013,0,0,Rate
69,2022,FIRE PROTECTION (HYDRANTS)-COM,M051,Commercial,0.039,0,0,Rate
70,2022,FIRE PROTECT CHURCH COM EXEMPT,M051,Commercial Exempt,0.013,0,0,Rate
71,2022,FIRE PROTECTION (HYDRANTS)-RES,M051,Residential,0.013,0,0,Rate
72,2022,FIRE PROTECTION -RESI EXEMPT,M051,Residential Exempt,0.013,0,0,Rate
73,2022,FIRE PROTECT (HYDRANTS)-RESOUR,M051,Resource,0.013,0,0,Rate
74,2022,FIRE PROTECTION RESO EXEMPT,M051,Resource Exempt,0.013,0,0,Rate
75,2022,FIRE PROTECTION COM EXEMPT,M052,Commercial Exempt,0.039,0,0,Rate
76,2022,FIRE PROTECTION -RESI EXEMPT,M052,Residential Exempt,0.013,0,0,Rate
77,2022,FIRE PROTECTION RESO EXEMPT,M052,Resource Exempt,0.013,0,0,Rate
78,2022,LOCAL TRANSIT-RESIDENTIAL,M060,Residential,0.098,0,0,Rate
79,2022,LOCAL TRANSIT-RESOURCE,M060,Resource,0.098,0,0,Rate
80,2022,REGIONAL TRANSPORTATION-RESIDE,M070,Residential,0.047,0,0,Rate
81,2022,REGIONAL TRANSPORTATION-RESO,M070,Resource,0.047,0,0,Rate
82,2022,CLIMATE CHANGE-COMMERCIAL,M080,Commercial,0.089,0,0,Rate
83,2022,CLIMATE CHANGE-RESIDENTIAL,M080,Residential,0.023,0,0,Rate
84,2022,CLIMATE CHANGE-RESOURCE,M080,Resource,0.023,0,0,Rate
85,2022,NON PROFIT ACREAGE,M410,Non-Profit Acre,42.8,0,0,Mandatory Rate
86,2022,COMMERCIAL FOREST,M610,Commercial Forrest Acre,0.41,0,0,Mandatory Rate
87,2022,RESOURCE FOREST,M710,Resource Forrest Acre,0.269,0,0,Mandatory Rate
88,2022,PROPERTY VALU SERVICE TAX-COM,P010,Commercial,0.013,0,0,Rate
89,2022,PROPERTY VALUATION SERVICE TAX,P010,Residential,0.013,0,0,Rate
90,2022,PROPERTY VALU SERVICE TAX-RESO,P010,Resource,0.013,0,0,Rate
91,2022,CORRECTION SERVICES TAX-COMMER,P020,Commercial,0.013,0,0,Rate
92,2022,CORRECTION SERVICES TAX-RESIDE,P020,Residential,0.013,0,0,Rate
93,2022,CORRECTION SERVICES TAX-RESOUR,P020,Resource,0.013,0,0,Rate
94,2022,EDUCATION TAX-COMMERCIAL,P030,Commercial,0.293,0,0,Rate
95,2022,EDUCATION TAX-RESIDENTIAL,P030,Residential,0.293,0,0,Rate
96,2022,EDUCATION TAX-RESOURCE,P030,Resource,0.293,0,0,Rate
97,2022,METRO HOUSING AUTH TAX-COM,P040,Commercial,0.009,0,0,Rate
98,2022,METRO HOUSING AUTH TAX-RES,P040,Residential,0.009,0,0,Rate
99,2022,METRO HOUSING AUTH TAX-RESO,P040,Resource,0.009,0,0,Rate
100,2022,PETPESWICK DR PRIV ROAD RES,R000,Commercial,300,0,0,Flat Rate
101,2022,PETPESWICK DR PRIV ROAD RES,R000,Residential,300,0,0,Flat Rate
102,2022,PETPESWICK DR PRIV ROAD RES,R000,Resource,300,0,0,Flat Rate
103,2022,THREE BROOKS PRIV ROAD RES,R010,Commercial,450,0,0,Flat Rate
104,2022,THREE BROOKS PRIV ROAD RES,R010,Residential,450,0,0,Flat Rate
105,2022,THREE BROOKS PRIV ROAD RES,R010,Resource,450,0,0,Flat Rate
106,2022,SOUTHWEST GRAND LAKE PRIV RDT1,R020,Commercial,350,0,0,Flat Rate
107,2022,SOUTHWEST GRAND LAKE PRIV RDT1,R020,Residential,350,0,0,Flat Rate
108,2022,SOUTHWEST GRAND LAKE PRIV RDT1,R020,Resource,350,0,0,Flat Rate
109,2022,SOUTHWEST GRAND LAKE PRIV RDT2,R030,Commercial,450,0,0,Flat Rate
110,2022,SOUTHWEST GRAND LAKE PRIV RDT2,R030,Residential,450,0,0,Flat Rate
111,2022,SOUTHWEST GRAND LAKE PRIV RDT2,R030,Resource,450,0,0,Flat Rate
112,2022,SOUTHWEST GRAND LAKE PRIV RDT3,R040,Commercial,600,0,0,Flat Rate
113,2022,SOUTHWEST GRAND LAKE PRIV RDT3,R040,Residential,600,0,0,Flat Rate
114,2022,SOUTHWEST GRAND LAKE PRIV RDT3,R040,Resource,600,0,0,Flat Rate
115,2022,SOUTHWEST GRAND LAKE PRIV RDT4,R050,Commercial,750,0,0,Flat Rate
116,2022,SOUTHWEST GRAND LAKE PRIV RDT4,R050,Residential,750,0,0,Flat Rate
117,2022,SOUTHWEST GRAND LAKE PRIV RDT4,R050,Resource,750,0,0,Flat Rate
118,2022,RIVER BEND/RIVER CRT MAINT RES,R060,Commercial,350,0,0,Flat Rate
119,2022,RIVER BEND/RIVER CRT MAINT RES,R060,Residential,350,0,0,Flat Rate
120,2022,RIVER BEND/RIVER CRT MAINT RES,R060,Resource,350,0,0,Flat Rate
121,2022,RANGE ROAD PRIVATE ROAD RES,R070,Commercial,150,0,0,Flat Rate
122,2022,RANGE ROAD PRIVATE ROAD RES,R070,Residential,150,0,0,Flat Rate
123,2022,RANGE ROAD PRIVATE ROAD RES,R070,Resource,150,0,0,Flat Rate
124,2022,RUTTER COURT RESIDENTS RES,R080,Commercial,450,0,0,Flat Rate
125,2022,RUTTER COURT RESIDENTS RES,R080,Residential,450,0,0,Flat Rate
126,2022,RUTTER COURT RESIDENTS RES,R080,Resource,450,0,0,Flat Rate
127,2022,BALD ROCK RD MAINTENANCE RES,R090,Commercial,385.33,0,0,Flat Rate
128,2022,BALD ROCK RD MAINTENANCE RES,R090,Residential,385.33,0,0,Flat Rate
129,2022,BALD ROCK RD MAINTENANCE RES,R090,Resource,385.33,0,0,Flat Rate
130,2022,ST MARG RD MAINTENANCE RES,R100,Commercial,450,0,0,Flat Rate
131,2022,ST MARG RD MAINTENANCE RES,R100,Residential,450,0,0,Flat Rate
132,2022,ST MARG RD MAINTENANCE RES,R100,Resource,450,0,0,Flat Rate
133,2022,BLACK'S SUBDIV RATE PAY RES,R110,Commercial,150,0,0,Flat Rate
134,2022,BLACK'S SUBDIV RATE PAY RES,R110,Residential,150,0,0,Flat Rate
135,2022,BLACK'S SUBDIV RATE PAY RES,R110,Resource,150,0,0,Flat Rate
136,2022,REDOUBT HEAD HOMEOWN RES,R120,Commercial,500,0,0,Flat Rate
137,2022,REDOUBT HEAD HOMEOWN RES,R120,Residential,500,0,0,Flat Rate
138,2022,REDOUBT HEAD HOMEOWN RES,R120,Resource,500,0,0,Flat Rate
139,2022,MARINER'S ANCHORAGE RES,R130,Commercial,300,0,0,Flat Rate
140,2022,MARINER'S ANCHORAGE RES,R130,Residential,300,0,0,Flat Rate
141,2022,MARINER'S ANCHORAGE RES,R130,Resource,300,0,0,Flat Rate
142,2022,ST MARG BAY HEIGHTS PR RES,R140,Commercial,280,0,0,Flat Rate
143,2022,ST MARG BAY HEIGHTS PR RES,R140,Residential,280,0,0,Flat Rate
144,2022,ST MARG BAY HEIGHTS PR RES,R140,Resource,280,0,0,Flat Rate
145,2022,SHILOH /KARLA DR ROAD RES,R150,Commercial,700,0,0,Flat Rate
146,2022,SHILOH /KARLA DR ROAD RES,R150,Residential,700,0,0,Flat Rate
147,2022,SHILOH /KARLA DR ROAD RES,R150,Resource,700,0,0,Flat Rate
148,2022,KELLY POINT PRIVATE ROAD RES,R160,Commercial,700,0,0,Flat Rate
149,2022,KELLY POINT PRIVATE ROAD RES,R160,Residential,700,0,0,Flat Rate
150,2022,KELLY POINT PRIVATE ROAD RES,R160,Resource,700,0,0,Flat Rate
151,2022,JENNA LANE PRIVATE ROAD RES,R170,Commercial,625,0,0,Flat Rate
152,2022,JENNA LANE PRIVATE ROAD RES,R170,Residential,625,0,0,Flat Rate
153,2022,JENNA LANE PRIVATE ROAD RES,R170,Resource,625,0,0,Flat Rate
154,2022,BAYVIEW HOMEOWNERS SOC RES,R180,Commercial,600,0,0,Flat Rate
155,2022,BAYVIEW HOMEOWNERS SOC RES,R180,Residential,600,0,0,Flat Rate
156,2022,BAYVIEW HOMEOWNERS SOC RES,R180,Resource,600,0,0,Flat Rate
157,2022,CAMBRIAN'S COVE HOMEOWNER RES,R190,Commercial,680,0,0,Flat Rate
158,2022,CAMBRIAN'S COVE HOMEOWNER RES,R190,Residential,680,0,0,Flat Rate
159,2022,CAMBRIAN'S COVE HOMEOWNER RES,R190,Resource,680,0,0,Flat Rate
160,2022,SELOA RD MAINTENANCE RES,R200,Commercial,900,0,0,Flat Rate
161,2022,SELOA RD MAINTENANCE RES,R200,Residential,900,0,0,Flat Rate
162,2022,SELOA RD MAINTENANCE RES,R200,Resource,900,0,0,Flat Rate
163,2022,BLACK'S SUBDIV RATE PAY RES 75,R210,Commercial,75,0,0,Flat Rate
164,2022,BLACK'S SUBDIV RATE PAY RES 75,R210,Residential,75,0,0,Flat Rate
165,2022,BLACK'S SUBDIV RATE PAY RES 75,R210,Resource,75,0,0,Flat Rate
166,2023,FRAME SUB HOMEOWNERS RES,A000,Residential,45,0,0,Flat Rate
167,2023,FRAME SUB HOMEOWNERS RES,A000,Resource,45,0,0,Flat Rate
168,2023,HALIBURTON/HIGHBURY REC RES,A010,Residential,0.023,0,0,Rate
169,2023,HALIBURTON/HIGHBURY RE RESO,A010,Resource,0.023,0,0,Rate
170,2023,SILVERSIDES RESIDENTS RES,A020,Commercial,100,0,0,Flat Rate
171,2023,SILVERSIDES RESIDENTS RES,A020,Residential,100,0,0,Flat Rate
172,2023,SILVERSIDES RESIDENTS RES,A020,Resource,100,0,0,Flat Rate
173,2023,HIGHLAND PARK REC ASSOC RES,A030,Residential,0.005,0,0,Rate
174,2023,HIGHLAND PARK REC ASSO RESO,A030,Resource,0.005,0,0,Rate
175,2023,KINGSWOOD RATEPAYERS RES,A040,Commercial,50,0,0,Flat Rate
176,2023,KINGSWOOD RATEPAYERS RES,A040,Residential,50,0,0,Flat Rate
177,2023,KINGSWOOD RATEPAYERS RES,A040,Resource,50,0,0,Flat Rate
178,2023,LWF RECREATION - RESIDENTIAL,A050,Residential,0.03,0,0,Rate
179,2023,LWF RECREATION - RESOURCE,A050,Resource,0.03,0,0,Rate
180,2023,MINEVILLE COMMUNITY RES,A070,Commercial,20,0,0,Flat Rate
181,2023,MINEVILLE COMMUNITY RES,A070,Residential,20,0,0,Flat Rate
182,2023,MINEVILLE COMMUNITY RES,A070,Resource,20,0,0,Flat Rate
183,2023,MUSQUODOBOIT HBR COMMON RES,A080,Residential,0.005,0,0,Rate
184,2023,MUSQUODOBOIT HBR COM RESO,A080,Resource,0.005,0,0,Rate
185,2023,PROSPECT ROAD REC ASSOC - RES,A090,Residential,0.012,0,0,Rate
186,2023,PROSPECT ROAD REC ASSO - RESO,A090,Resource,0.012,0,0,Rate
187,2023,SACK HEIGHTS COMM CENTRE COM,A100,Commercial,0.01,0,0,Rate
188,2023,SACK HEIGHTS COMM CENTRE RES,A100,Residential,0.01,0,0,Rate
189,2023,SACK HEIGHTS COM CENTRE RESO,A100,Resource,0.01,0,0,Rate
190,2023,FOX HOLLOW ST MARGS BAY RES,A110,Commercial,60,0,0,Flat Rate
191,2023,FOX HOLLOW ST MARGS BAY RES,A110,Residential,60,0,0,Flat Rate
192,2023,FOX HOLLOW ST MARGS BAY RES,A110,Resource,60,0,0,Flat Rate
193,2023,GLEN ARBOUR RESIDENTS RES,A120,Commercial,65,0,0,Flat Rate
194,2023,GLEN ARBOUR RESIDENTS RES,A120,Residential,65,0,0,Flat Rate
195,2023,GLEN ARBOUR RESIDENTS RES,A120,Resource,65,0,0,Flat Rate
196,2023,THREE BROOKS HOMEOWNERS RES,A130,Residential,60,0,0,Flat Rate
197,2023,THREE BROOKS HOMEOWNERS RES,A130,Resource,60,0,0,Flat Rate
198,2023,WESTWOOD HILLS RESIDENTS RES,A140,Residential,50,0,0,Flat Rate
199,2023,WESTWOOD HILLS RESIDENTS RES,A140,Resource,50,0,0,Flat Rate
200,2023,GR.LAKE/OAKFIELD COMM'Y RES,A160,Residential,0.021,0,0,Rate
201,2023,GR.LAKE/OAKFIELD COMM RESO,A160,Resource,0.021,0,0,Rate
202,2023,KETCH HARBOUR AREA RES,A170,Residential,66.67,0,0,Flat Rate
203,2023,KETCH HARBOUR AREA RES,A170,Resource,66.67,0,0,Flat Rate
204,2023,SHEET HBR STREETSCAPE T1 RES,A180,Commercial,25,0,0,Flat Rate
205,2023,SHEET HBR STREETSCAPE T1 RES,A180,Residential,25,0,0,Flat Rate
206,2023,SHEET HBR STREETSCAPE T2 RES,A190,Commercial,15,0,0,Flat Rate
207,2023,SHEET HBR STREETSCAPE T2 RES,A190,Residential,15,0,0,Flat Rate
208,2023,SHEET HBR STREETSCAPE T3 RES,A200,Commercial,5,0,0,Flat Rate
209,2023,SHEET HBR STREETSCAPE T3 RES,A200,Residential,5,0,0,Flat Rate
210,2023,WAVERLEY COMMUNITY ASSOCIATION,A210,Commercial,35,0,0,Flat Rate
211,2023,WAVERLEY COMMUNITY ASSOCIATION,A210,Residential,35,0,0,Flat Rate
212,2023,WAVERLEY COMMUNITY ASSOCIATION,A210,Resource,35,0,0,Flat Rate
213,2023,HALIFAX DOWNTOWN BID,B000,Commercial,0.13,300,0,Rate
214,2023,DARTMOUTH DOWNTOWN BID,B010,Commercial,0.36,300,0,Rate
215,2023,SPRING GARDEN ROAD BID,B020,Commercial,0.34,500,23000,Rate
216,2023,QUINPOOL ROAD BID,B030,Commercial,0.22,300,22000,Rate
217,2023,SPRYFIELD BID,B040,Commercial,0.32,500,15000,Rate
218,2023,DARTMOUTH MAIN STREET BID,B050,Commercial,0.195,250,0,Rate
219,2023,SACKVILLE BID,B060,Commercial,0.17,250,7000,Rate
220,2023,NORTH END COMMERCIAL BID,B070,Commercial,0.16,350,10000,Rate
221,2023,PORTERS LAKE COMMERCIAL BID,B080,Commercial,0.1,300,3000,Rate
222,2023,URBAN GENERAL RATE-RESIDENTIAL,M010,Residential,0.649,0,0,Rate
223,2023,URBAN GENERAL RATE-RESOURCE,M010,Resource,0.649,0,0,Rate
224,2023,SUBURBAN GENERAL RATE-RESIDENT,M020,Residential,0.616,0,0,Rate
225,2023,SUBURBAN GENERAL RATE-RESOURCE,M020,Resource,0.616,0,0,Rate
226,2023,RURAL GENERAL RATE-RESIDENTIAL,M030,Residential,0.616,0,0,Rate
227,2023,RURAL GENERAL RATE-RESOURCE,M030,Resource,0.616,0,0,Rate
228,2023,SUPPLEMENTARY EDUCATION-COM,M040,Commercial,0.058,0,0,Rate
229,2023,SUPPLEMENTARY EDUCATION-RESIDE,M040,Residential,0.019,0,0,Rate
230,2023,SUPPLEMENTARY EDUCATION-RESOUR,M040,Resource,0.019,0,0,Rate
231,2023,FIRE PROTECTION (HYDRANTS)-COM,M050,Commercial,0.036,0,0,Rate
232,2023,FIRE PROTECTION (HYDRANTS)-RES,M050,Residential,0.012,0,0,Rate
233,2023,FIRE PROTECT (HYDRANTS)-RESOUR,M050,Resource,0.012,0,0,Rate
234,2023,FIRE PROTECTION COM EXEMPT,M052,Commercial Exempt,0.036,0,0,Rate
235,2023,FIRE PROTECTION -RESI EXEMPT,M052,Residential Exempt,0.012,0,0,Rate
236,2023,FIRE PROTECTION RESO EXEMPT,M052,Resource Exempt,0.012,0,0,Rate
237,2023,LOCAL TRANSIT-RESIDENTIAL,M060,Residential,0.091,0,0,Rate
238,2023,LOCAL TRANSIT-RESOURCE,M060,Resource,0.091,0,0,Rate
239,2023,CLIMATE CHANGE-COMMERCIAL,M080,Commercial,0.079,0,0,Rate
240,2023,CLIMATE CHANGE-RESIDENTIAL,M080,Residential,0.02,0,0,Rate
241,2023,CLIMATE CHANGE-RESOURCE,M080,Resource,0.02,0,0,Rate
242,2023,Stormwater Right Of Way-COMMER,M090,Commercial,0.011,0,0,Rate
243,2023,Stormwater Right Of Way-RESIDE,M090,Residential,0.011,0,0,Rate
244,2023,Stormwater Right Of Way-RESOUR,M090,Resource,0.011,0,0,Rate
245,2023,Business Park Area-COMMERCIAL,M100,Commercial,0,0,0,Tiered Rate
246,2023,Industrial Park Area-COMMERCIA,M110,Commercial,0,0,0,Tiered Rate
247,2023,Downtown/Community-COMMERCIAL,M120,Commercial,0,0,0,Tiered Rate
248,2023,Community Area-COMMERCIAL,M130,Commercial,0,0,0,Tiered Rate
249,2023,Rural Area-COMMERCIAL,M140,Commercial,2.611,0,0,Rate
250,2023,NON PROFIT ACREAGE,M410,Non-Profit Acre,44.95,0,0,Mandatory Rate
251,2023,COMMERCIAL FOREST,M610,Commercial Forrest Acre,0.41,0,0,Mandatory Rate
252,2023,RESOURCE FOREST,M710,Resource Forrest Acre,0.269,0,0,Mandatory Rate
253,2023,PROPERTY VALU SERVICE TAX-COM,P010,Commercial,0.012,0,0,Rate
254,2023,PROPERTY VALUATION SERVICE TAX,P010,Residential,0.012,0,0,Rate
255,2023,PROPERTY VALU SERVICE TAX-RESO,P010,Resource,0.012,0,0,Rate
256,2023,CORRECTION SERVICES TAX-COMMER,P020,Commercial,0.012,0,0,Rate
257,2023,CORRECTION SERVICES TAX-RESIDE,P020,Residential,0.012,0,0,Rate
258,2023,CORRECTION SERVICES TAX-RESOUR,P020,Resource,0.012,0,0,Rate
259,2023,EDUCATION TAX-COMMERCIAL,P030,Commercial,0.282,0,0,Rate
260,2023,EDUCATION TAX-RESIDENTIAL,P030,Residential,0.282,0,0,Rate
261,2023,EDUCATION TAX-RESOURCE,P030,Resource,0.282,0,0,Rate
262,2023,METRO HOUSING AUTH TAX-COM,P040,Commercial,0.007,0,0,Rate
263,2023,METRO HOUSING AUTH TAX-RES,P040,Residential,0.007,0,0,Rate
264,2023,METRO HOUSING AUTH TAX-RESO,P040,Resource,0.007,0,0,Rate
265,2023,PETPESWICK DR PRIV ROAD RES,R000,Commercial,300,0,0,Flat Rate
266,2023,PETPESWICK DR PRIV ROAD RES,R000,Residential,300,0,0,Flat Rate
267,2023,PETPESWICK DR PRIV ROAD RES,R000,Resource,300,0,0,Flat Rate
268,2023,THREE BROOKS PRIV ROAD RES,R010,Commercial,640,0,0,Flat Rate
269,2023,THREE BROOKS PRIV ROAD RES,R010,Residential,640,0,0,Flat Rate
270,2023,THREE BROOKS PRIV ROAD RES,R010,Resource,640,0,0,Flat Rate
271,2023,SOUTHWEST GRAND LAKE PRIV RDT1,R020,Commercial,350,0,0,Flat Rate
272,2023,SOUTHWEST GRAND LAKE PRIV RDT1,R020,Residential,350,0,0,Flat Rate
273,2023,SOUTHWEST GRAND LAKE PRIV RDT1,R020,Resource,350,0,0,Flat Rate
274,2023,SOUTHWEST GRAND LAKE PRIV RDT2,R030,Commercial,450,0,0,Flat Rate
275,2023,SOUTHWEST GRAND LAKE PRIV RDT2,R030,Residential,450,0,0,Flat Rate
276,2023,SOUTHWEST GRAND LAKE PRIV RDT2,R030,Resource,450,0,0,Flat Rate
277,2023,SOUTHWEST GRAND LAKE PRIV RDT3,R040,Commercial,600,0,0,Flat Rate
278,2023,SOUTHWEST GRAND LAKE PRIV RDT3,R040,Residential,600,0,0,Flat Rate
279,2023,SOUTHWEST GRAND LAKE PRIV RDT3,R040,Resource,600,0,0,Flat Rate
280,2023,SOUTHWEST GRAND LAKE PRIV RDT4,R050,Commercial,750,0,0,Flat Rate
281,2023,SOUTHWEST GRAND LAKE PRIV RDT4,R050,Residential,750,0,0,Flat Rate
282,2023,SOUTHWEST GRAND LAKE PRIV RDT4,R050,Resource,750,0,0,Flat Rate
283,2023,RIVER BEND/RIVER CRT MAINT RES,R060,Commercial,350,0,0,Flat Rate
284,2023,RIVER BEND/RIVER CRT MAINT RES,R060,Residential,350,0,0,Flat Rate
285,2023,RIVER BEND/RIVER CRT MAINT RES,R060,Resource,350,0,0,Flat Rate
286,2023,RANGE ROAD PRIVATE ROAD RES,R070,Commercial,150,0,0,Flat Rate
287,2023,RANGE ROAD PRIVATE ROAD RES,R070,Residential,150,0,0,Flat Rate
288,2023,RANGE ROAD PRIVATE ROAD RES,R070,Resource,150,0,0,Flat Rate
289,2023,RUTTER COURT RESIDENTS RES,R080,Commercial,450,0,0,Flat Rate
290,2023,RUTTER COURT RESIDENTS RES,R080,Residential,450,0,0,Flat Rate
291,2023,RUTTER COURT RESIDENTS RES,R080,Resource,450,0,0,Flat Rate
292,2023,BALD ROCK RD MAINTENANCE RES,R090,Commercial,385.33,0,0,Flat Rate
293,2023,BALD ROCK RD MAINTENANCE RES,R090,Residential,385.33,0,0,Flat Rate
294,2023,BALD ROCK RD MAINTENANCE RES,R090,Resource,385.33,0,0,Flat Rate
295,2023,ST MARG RD MAINTENANCE RES,R100,Commercial,450,0,0,Flat Rate
296,2023,ST MARG RD MAINTENANCE RES,R100,Residential,450,0,0,Flat Rate
297,2023,ST MARG RD MAINTENANCE RES,R100,Resource,450,0,0,Flat Rate
298,2023,BLACK'S SUBDIV RATE PAY RES,R110,Commercial,150,0,0,Flat Rate
299,2023,BLACK'S SUBDIV RATE PAY RES,R110,Residential,150,0,0,Flat Rate
300,2023,BLACK'S SUBDIV RATE PAY RES,R110,Resource,150,0,0,Flat Rate
301,2023,REDOUBT HEAD HOMEOWN RES,R120,Commercial,500,0,0,Flat Rate
302,2023,REDOUBT HEAD HOMEOWN RES,R120,Residential,500,0,0,Flat Rate
303,2023,REDOUBT HEAD HOMEOWN RES,R120,Resource,500,0,0,Flat Rate
304,2023,MARINER'S ANCHORAGE RES,R130,Commercial,300,0,0,Flat Rate
